Pašvaldība;Iestādes reģistrācijas Nr.;Iestādes nosaukums;Iestādes veids;Iestādes tips;Pakļautība;Faktiskais dibinātājs;Adreses ATVK kods; Izglītības programmas otrais klasifikācijas līmenis;Izglītības programmas kods;Izglītības programmas nosaukums;1.kursā;2.kursā;3.kursā;4.kursā;Izglītojamo skaits kopā (1.-4.kurss)
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;32a;32a521011;Metālapstrāde;24;;;;24
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33346011;Administratīvie un sekretāra pakalpojumi;10;10;11;9;40
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33525011;Autotransports;24;21;19;17;81
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33543041;Koka izstrādājumu izgatavošana;10;16;6;8;40
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33582021;Būvniecība;22;16;18;18;74
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33811021;Ēdināšanas pakalpojumi;20;17;9;11;57
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;32;32811021;Ēdināšanas pakalpojumi;7;;;;7
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;33;33621041;Lopkopība;6;7;4;6;23
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;33;33640011;Veterinārmedicīna;22;11;8;10;51
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;35b;35b621041;Lopkopība;12;;;;12
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;35b;35b640011;Veterinārmedicīna;15;;;;15
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;35b;35b811021;Ēdināšanas pakalpojumi;9;;;;9
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;33;33341021;Komerczinības;8;3;4;;15
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;33;33543041;Kokizstrādājumu izgatavošana;4;6;2;6;18
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;33;33815001;Skaistumkopšanas pakalpojumi;21;19;6;4;50
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;35b;35b761011;Bērnu aprūpe;11;;;;11
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212011;Taustiņinstrumentu spēle;5;1;3;1;10
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212021;Stīgu instrumentu spēle;2;;2;2;6
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212031;Pūšaminstrumentu spēle;;;1;3;4
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212041;Sitaminstrumentu spēle;;1;;;1
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212051;Diriģēšana;3;1;2;1;7
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212061;Vokālā mūzika;;2;;1;3
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212091;Mūzika;3;1;4;1;9
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;35b;35b212061;Vokālā mūzika;1;;1;;2
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;35b;35b212091;Mūzika;1;;1;;2
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33214111;Apģērbu dizains;18;9;13;7;47
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33214151;Produktu dizains;;8;;4;12
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33346011;Administratīvie un sekretāra pakalpojumi;;;;8;8
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33483011;Datorsistēmas, datubāzes un datortīkli;22;25;21;13;81
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33484011;Programmēšana;44;43;35;17;139
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33522011;Enerģētika un elektrotehnika;23;11;8;11;53
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33525011;Autotransports;68;39;36;15;158
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33543041;Kokizstrādājumu izgatavošana;22;27;13;8;70
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33581011;Arhitektūra;11;11;9;;31
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33582011;Būvdarbi;33;33;21;8;95
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33582021;Būvniecība;18;;;;18
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33621001;Lauksaimniecība;22;12;10;9;53
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33621011;Augkopība;12;8;5;8;33
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33811021;Ēdināšanas pakalpojumi;14;11;7;5;37
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;35b;35b621013;Augkopība;26;1;;;27
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212011;Taustiņinstrumentu spēle;6;2;5;3;16
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212021;Stīgu instrumentu spēle;2;4;1;6;13
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212031;Pūšaminstrumentu spēle;5;4;2;;11
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212041;Sitaminstrumentu spēle;1;1;2;;4
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212051;Diriģēšana;1;3;2;;6
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212061;Vokālā mūzika;5;2;4;4;15
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;33;33212071;Mūzikas vēsture un teorija;1;2;;1;4
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;35b;35b212041;Sitaminstrumentu spēle;;2;;;2
DAUGAVPILS;2735303593;Staņislava Broka Daugavpils Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;002000;35b;35b212121;Teātra māksla;6;;;;6
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32;32815021;Frizieru pakalpojumi;15;18;12;;45
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a542021;Šūto izstrādājumu ražošanas tehnoloģija;18;;;;18
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33341021;Komerczinības;24;12;3;;39
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33346011;Administratīvie un sekretāra pakalpojumi;19;24;19;16;78
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33483011;Datorsistēmas, datubāzes un datortīkli;28;26;22;14;90
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33484011;Programmēšana;48;29;23;17;117
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33522011;Enerģētika un elektrotehnika;59;34;21;13;127
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;11;;;;11
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33811021;Ēdināšanas pakalpojumi;35;40;42;37;154
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33811031;Viesnīcu pakalpojumi;13;11;10;7;41
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33840081;Dzelzceļa pakalpojumi;11;;;;11
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33840111;Loģistika;29;26;22;13;90
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b523031;Telekomunikācijas;12;;;;12
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b811021;Ēdināšanas pakalpojumi;9;;;;9
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b811031;Viesnīcu pakalpojumi;8;;;;8
DAUGAVPILS;2736003566;Daugavpils Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b811041;Restorānu pakalpojumi;10;;;;10
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a521011;Metālapstrāde;66;;;;66
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a543041;Kokizstrādājumu izgatavošana;18;;;;18
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a582011;Būvdarbi;71;;;;71
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a582031;Siltuma, gāzes un ūdens tehnoloģija;17;;;;17
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a621011;Augkopība;19;;;;19
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;32a;32a811021;Ēdināšanas pakalpojumi;30;;;;30
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33214031;Interjera dizains;16;14;12;14;56
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33521031;Inženiertehnika, mehānika un mašīnbūves tehnoloģija;;8;;7;15
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33522061;Siltumenerģētika;;7;;;7
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33525001;Mašīnzinības;10;12;10;;32
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33525011;Autotransports;74;74;44;40;232
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33581011;Arhitektūra;15;19;13;;47
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33582011;Būvdarbi;41;39;20;26;126
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33582021;Būvniecība;22;23;8;14;67
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33582031;Siltuma, gāzes un ūdens tehnoloģija;11;11;10;11;43
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33621001;Lauksaimniecība;11;13;18;;42
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;33;33811021;Ēdināšanas pakalpojumi;;;;7;7
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b214031;Interjera dizains;12;4;;;16
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b522061;Siltumenerģētika;15;;;;15
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b525011;Autotransports;43;;;;43
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b582011;Būvdarbi;50;;;;50
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b582021;Būvniecība;70;1;;;71
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b582031;Siltuma, gāzes un ūdens tehnoloģija;10;;;;10
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b621001;Lauksaimniecība;15;;;;15
DAUGAVPILS;2736003570;Latgales Industriālais tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;002000;35b;35b621011;Augkopība;15;;;;15
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33211011;Mākslas;6;10;9;4;29
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33213011;Audiovizuālā māksla un tehnoloģijas;6;8;5;8;27
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214011;Komunikācijas dizains;16;17;9;;42
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214021;Vides dizains;5;;;;5
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214031;Interjera dizains;8;9;8;6;31
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214041;Reklāmas dizains;;;;7;7
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214051;Koka izstrādājumu dizains;;;;2;2
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214061;Tekstilizstrādājumu dizains;;;;1;1
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214111;Apģērbu dizains;7;8;7;2;24
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214121;Multimediju dizains;;;7;8;15
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;33;33214151;Produktu dizains;10;1;6;;17
